理发,理髮,lǐfà,to get a haircut,
小偷,小偷,xiǎotōu,thief,
警察,警察,jǐngchá,Police,
摸,摸,mō,to touch,
另,另,lìng,other,
堵,堵,dǔ,to block,
蚯蚓,蚯蚓,qiūyǐn,earthworm,
裤子,褲子,kùzi,pants,
没毒,沒毒,méidú,non-poisonous,
毒蛇,毒蛇,dúshé,poisonous snake,
抓到,抓到,zhuādào,to catch,
嘘,噓,xū,shh,
有毒,有毒,yǒudú,poisonous,
蛇,蛇,shé,snake,
白宫,白宮,Báigōng,the White House,
会议室,會議室,huìyìshì,conference room,
婚假,婚假,hūnjià,marriage leave,
产假,產假,chǎnjià,maternity leave,
年假,年假,niánjià,annual leave,
蜜月,蜜月,mìyuè,honeymoon,
商品,商品,shāngpǐn,merchandise,
第五大道,第五大道,Dìwǔdàdào,Fifth Avenue,
吓人,嚇人,xiàrén,frightening,
补牙,補牙,bǔyá,to have a cavity filled,
看牙,看牙,kànyá,to see the dentist,
拔,拔,bá,to pull,
拔牙,拔牙,báyá,to pull a tooth,
西部,西部,xībù,western part,
东部,東部,dōngbù,eastern part,
空气,空氣,kōngqì,air,
暖气,暖氣,nuǎnqì,central heating,
干嘛,幹嘛,gànmá,what are you doing,
家教,家教,jiājiào,private tutor,
大衣,大衣,dàyī ,overcoat ,
油价,油價,yóujià,gas prices,
请得起,請得起,qǐng de qǐ,to be able to afford to treat someone,
吃不起,吃不起,chībuqǐ,can't afford to eat (something),
阿姨,阿姨,āyí,auntie; maternal aunt; step-mother,
香蕉皮,香蕉皮,xiāngjiāopí,banana peel,
垃圾箱,垃圾箱,lājīxiāng,garbage can,
不文明,不文明,bù wénmíng,uncivilized,
文明,文明,wénmíng,civilized,
清洁工,清潔工,qīngjiégōng,cleaner,
乱,亂,luàn,messy,
玫瑰,玫瑰,méigui,rose,
幽默,幽默,yōumò,humorous,
访问,訪問,fǎngwèn,to visit,
呆,呆,dāi,to stay,
会议,會議,huìyì,meeting; conference,
确认,確認,quèrèn,to confirm,
取消,取消,qǔxiāo,to cancel,
旅程,旅程,lǚchéng,travel itinerary,
重庆,重慶,Chóngqìng,Chongqing,
安排,安排,ānpái,to arrange,
行程,行程,xíngchéng,itinerary,
云南,雲南,Yúnnán,Yunnan province in southwest China,
瑜伽,瑜伽,yújiā,yoga,
第一名,第一名,dì yī míng,first place,
接,接,jiē,to receive,
司机,司機,sījī,driver,
地球,地球,dìqiú,the earth,
月饼,月餅,yuèbǐng,mooncake,
手套,手套,shǒutào,gloves,
杭州,杭州,Hángzhōu,Hangzhou,
女婿,女婿,nǚxu,son-in-law,
刻钟,刻鐘,kèzhōng,quarter-hour,
节目,節目,jiémù,show; program,
好客,好客,hàokè,hospitable,
进步,進步,jìnbù,progress; improvement; to improve,
围巾,圍巾,wéijīn,scarf,
歌手,歌手,gēshǒu,singer,
泰迪熊,泰迪熊,tàidíxióng,Teddy Bear,
花钱,花錢,huāqián,to spend money,
能干,能幹,nénggàn,Capable,
握笔,握筆,wòbǐ,Hold a pen,
