厉害,厲害,lìhai,difficult to deal with; difficult to endure; ferocious,
铃声,鈴聲,língshēng,ringtone,
饮料,飲料,yǐnliào,drink,
喉咙,喉嚨,hóulóng,throat,
货币,貨幣,huòbì,"money, currency",
认真,認真,rènzhēn,conscientious; earnest; serious,
旧金山,舊金山,Jiùjīnshān,San Francisco,
棒,棒,bàng,excellent; great,
宽,寬,kuān,lenient; wide; broad,
音节,音節,yīnjié,syllable,
文章,文章,wénzhāng,article; essay; literary works,
一篇,一篇,yīpiān,measure word for articles,
封,封,fēng,measure word for letters,
与,與,yǔ,with,
讲,講,jiǎng,to say,
圣诞节,聖誕節,shèngdànjié,Christmas,
老街,老街,lǎojiē,old street,
恶心,噁心,ěxīn,disgusting,
经典,經典,jīngdiǎn,classic,
得,得,děi,must,
待,待,dāi,to stay,
到达,到達,dàodá,to arrive,
婚礼,婚禮,hūnlǐ,wedding,
伦敦,倫敦,Lúndūn,London,
生活,生活,shēnghuó,life,
碰到,碰到,pèngdào,to bump into,
教室,教室,jiàoshì,classroom,
咬,咬,yǎo,to bite,
照顾,照顧,zhàogu,to look after,
挂,掛,guà,to hang or suspend (from a hook etc),
雾,霧,wù,fog,
结果,結果,jiéguǒ,results,Difficult Words
街上,街上,jiēshang,on the street,Difficult Words
信心,信心,xìnxīn,confidence,Difficult Words
喝醉,喝醉,hēzuì,to get drunk,
尽管,盡管,jǐnguǎn,to feel free,"Uncategorized,Difficult Words"
各位,各位,gè wèi,everybody [form of address],Uncategorized
条,條,tiáo,"MW for long, thin things",
发音,發音,fāyīn,pronunciation,Difficult Words
更加,更加,gèngjiā,even more,
性格,性格,xìnggé,nature; disposition; temperament,
商场,商場,shāngchǎng,shopping mall,
心意,心意,xīnyì,for one's heart to be in it; sincerity,Difficult Words
取款,取款,qǔkuǎn,to withdraw money,
着急,著急,zháojí,be anxious,Difficult Words
站住,站住,zhànzhù,to stop,
首,首,shǒu,classifier for songs,Difficult Words
考卷,考卷,kǎojuǎn,exam paper,
泡菜,泡菜,pàocài,kimchee,
实现,實現,shíxiàn,to fulfill,Difficult Words
急,急,jí,to be in a rush,
减肥,減肥,jiǎnféi,to lose weight,
体育馆,體育館,tǐyùguǎn,gymnasium,
艺术,藝術,yìshù,art,Difficult Words
到底,到底,dàodǐ,actually,
火柴,火柴,huǒchái,matches,
根,根,gēn,measure word for long slender things,
斤,斤,jīn,half a kilogram; jin (unit of weight),
属,屬,shǔ,to belong to some zodiac sign,
教,教,jiāo,to teach,
